Date,Open,High,Low,Close,Adj_Close,Volume
Oct 30 2020,	3268.25,	3296.25,	3225.00,	3264.75,	3264.75,	1733336
Oct 29 2020,	3278.75,	3333.75,	3250.25,	3302.25,	3302.25,	1357129
Oct 28 2020,	3368.75,	3370.75,	3260.75,	3263.50,	3263.50,	1529943
Oct 27 2020,	3394.50,	3410.25,	3368.00,	3383.00,	3383.00,	940467
Oct 26 2020,	3446.00,	3447.00,	3356.00,	3393.50,	3393.50,	1270433
Oct 23 2020,	3455.75,	3463.50,	3431.75,	3451.75,	3451.75,	773247
Oct 22 2020,	3430.50,	3453.00,	3402.25,	3449.25,	3449.25,	856913
Oct 21 2020,	3435.25,	3457.75,	3420.75,	3432.50,	3432.50,	1034105
Oct 20 2020,	3435.75,	3469.75,	3418.00,	3432.25,	3432.25,	1078100
Oct 19 2020,	3470.75,	3496.50,	3410.75,	3422.75,	3422.75,	1027486
Oct 16 2020,	3478.50,	3508.50,	3461.25,	3462.25,	3462.25,	719766
Oct 15 2020,	3479.50,	3486.75,	3431.50,	3475.50,	3475.50,	897971
Oct 14 2020,	3502.25,	3524.00,	3472.25,	3481.00,	3481.00,	901013
Oct 13 2020,	3533.75,	3536.00,	3491.25,	3504.75,	3504.75,	894785
Oct 12 2020,	3470.25,	3541.25,	3464.00,	3532.75,	3532.75,	726172
Oct 09 2020,	3447.00,	3480.00,	3445.50,	3473.25,	3473.25,	571111
Oct 08 2020,	3407.25,	3447.75,	3404.00,	3437.50,	3437.50,	638300
Oct 07 2020,	3338.00,	3416.50,	3331.75,	3406.75,	3406.75,	895709
